Time [s],Packet ID,MOSI,MISO
4.501912,13772,0x0,0x0
4.50192675,13772,0xF,0x0
4.5019435,13772,0x3,0x0
4.501958,13772,0x8,0x0
4.5019775,13773,0xD,0x0
4.502961,13774,0xD,0x0
4.50394375,13775,0xA,0x0
4.50396475,13776,0x0,0x0
4.5039795,13776,0xF,0x0
4.50399625,13776,0x8,0x0
4.504011,13776,0x8,0x0
4.5040305,13777,0xD,0x0
4.50501325,13778,0xD,0x0
4.50601775,13779,0xA,0x0
4.50603825,13780,0x0,0x0
4.506053,13780,0xF,0x0
4.50606975,13780,0x3,0x0
4.50608425,13780,0x8,0x0
4.50610375,13781,0xD,0x0
4.507087,13782,0xD,0x0
4.50807025,13783,0xA,0x0
4.50809125,13784,0x0,0x0
4.508106,13784,0xF,0x0
4.50812275,13784,0x8,0x0
4.5081375,13784,0x8,0x0
4.50815725,13785,0xD,0x0
4.50914025,13786,0xD,0x0
4.51014575,13787,0xA,0x0
4.510166,13788,0x0,0x0
4.510181,13788,0xF,0x0
4.51019775,13788,0x3,0x0
4.510212,13788,0x8,0x0
4.51023175,13789,0xD,0x0
4.51121475,13790,0xD,0x0
4.51219775,13791,0xA,0x0
4.51221875,13792,0x0,0x0
4.5122335,13792,0xF,0x0
4.51225,13792,0x8,0x0
4.512265,13792,0x8,0x0
4.5122845,13793,0xD,0x0
4.51326675,13794,0xD,0x0
4.51427275,13795,0xA,0x0
4.514293,13796,0x0,0x0
4.514308,13796,0xF,0x0
4.51432475,13796,0x3,0x0
4.51433925,13796,0x8,0x0
4.51435875,13797,0xD,0x0
4.5153415,13798,0xD,0x0
4.516325,13799,0xA,0x0
4.516346,13800,0x0,0x0
4.51636075,13800,0xF,0x0
4.51637725,13800,0x8,0x0
4.51639225,13800,0x8,0x0
4.51641175,13801,0xD,0x0
4.5173955,13802,0xD,0x0
4.518391,13803,0xA,0x0
4.5184095,13804,0xE,0x0
4.51842775,13805,0x0,0x0
4.518443,13805,0x5,0x0
4.51845975,13805,0xA,0x0
4.51847475,13805,0x5,0x0
4.51849175,13805,0xF,0x0
4.518506,13805,0x6,0x0
4.5185235,13805,0x0,0x0
4.5185385,13805,0x0,0x0
4.518562,13805,0x7,0x0
4.51857625,13805,0xD,0x0
4.518597,13805,0x7,0x0
4.51861125,13805,0x9,0x0
4.51863225,13805,0x0,0x0
4.5186475,13805,0x0,0x0
4.51866875,13805,0xF,0x0
4.51868325,13805,0x0,0x0
4.51870075,13805,0x5,0x0
4.51871525,13805,0x5,0x0
4.51874575,13806,0xA,0x0
4.51876625,13807,0x0,0x0
4.518781,13807,0xF,0x0
4.518798,13807,0x3,0x0
4.51881225,13807,0x8,0x0
4.51883175,13808,0xD,0x0
4.5198145,13809,0xD,0x0
4.5207975,13810,0xA,0x0
4.5208185,13811,0x0,0x0
4.52083325,13811,0xF,0x0
4.52085,13811,0x8,0x0
4.52086475,13811,0x8,0x0
4.5208845,13812,0xD,0x0
4.5218675,13813,0xD,0x0
4.52288725,13814,0xA,0x0
4.5229075,13815,0x0,0x0
4.52292225,13815,0xF,0x0
4.52293925,13815,0x3,0x0
4.5229535,13815,0x8,0x0
4.52297325,13816,0xD,0x0
4.5239565,13817,0xD,0x0
4.52494,13818,0xA,0x0
4.524961,13819,0x0,0x0
4.52497575,13819,0xF,0x0
4.5249925,13819,0x8,0x0
4.52500725,13819,0x8,0x0
4.52502675,13820,0xD,0x0
4.52601,13821,0xD,0x0
4.527015,13822,0xA,0x0
4.5270355,13823,0x0,0x0
4.5270505,13823,0xF,0x0
4.52706725,13823,0x3,0x0
4.52708175,13823,0x8,0x0
4.5271015,13824,0xD,0x0
4.5280845,13825,0xD,0x0
4.529068,13826,0xA,0x0
4.529089,13827,0x0,0x0
4.52910375,13827,0xF,0x0
4.52912025,13827,0x8,0x0
4.52913525,13827,0x8,0x0
